,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
IT Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fines And Penalties,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auditors Remuneration,1875,1630.434783,1388.888889,1102.941176,4039,4039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Directors Fees,850,850,850,850,850,850,850,850,850,850,850,850,892.0052615,894.9786124,897.9618745,900.9550807,903.9582643,906.9714585,909.9946967,913.0280124,916.0714391,919.1250105,922.1887606,924.4942325,926.8054681,929.1224817,931.4452879,933.7739012,936.1083359,938.4486068,940.7947283,943.1467151,945.5045819,947.8683433,950.2380142,952.6136092,954.9951432,957.3826311,959.7760877,962.1755279,964.5809667,966.9924191,969.4099002,971.8334249,974.2630085,976.698666,979.1404127,981.5882637,984.0422344,986.50234,988.9685958,991.4410173,993.9196198,996.4044189,998.8954299,1001.392669,1003.89615,1006.405891,1008.921905,1011.44421
Consultancy Fees,0,0,1210.020833,0,0,1225.209203,0,0,1240.58822,0,0,1255.11782,0,0,1267.710882,0,0,1280.430294,0,0,1293.277326,0,0,1305.168328,0,0,1314.981583,0,0,1324.868621,0,0,1334.829998,0,0,1344.866272,0,0,1354.978006,0,0,1365.165768,0,0,1375.43013,0,0,1385.771666,0,0,1396.190959,0,0,1406.688591,0,0,1417.265153,0,0,1427.921238
Telephones,100,100,100,100,100,100,100,100,100,100,100,100,104.9417955,105.2916015,105.6425735,105.9947154,106.3480311,106.7025245,107.0581996,107.4150603,107.7731105,108.1323542,108.4927954,108.7640274,109.0359374,109.3085273,109.5817986,109.8557531,110.1303925,110.4057184,110.6817327,110.9584371,111.2358332,111.5139227,111.7927076,112.0721893,112.3523698,112.6332507,112.9148338,113.1971209,113.4801137,113.763814,114.0482236,114.3333441,114.6191775,114.9057254,115.1929897,115.4809722,115.7696746,116.0590988,116.3492466,116.6401197,116.93172,117.2240493,117.5171094,117.8109022,118.1054294,118.400693,118.6966947,118.9934365
Cellphones,214,214,214,214,214,214,214,214,214,214,214,214,224.5754423,225.3240271,226.0751072,226.8286909,227.5847865,228.3434025,229.1045472,229.868229,230.6344564,231.4032379,232.1745821,232.7550185,233.3369061,233.9202483,234.505049,235.0913116,235.6790399,236.2682375,236.8589081,237.4510553,238.044683,238.6397947,239.2363942,239.8344851,240.4340714,241.0351565,241.6377444,242.2418388,242.8474434,243.454562,244.0631984,244.6733564,245.2850398,245.8982524,246.512998,247.1292805,247.7471037,248.3664715,248.9873877,249.6098561,250.2338808,250.8594655,251.4866141,252.1153307,252.745619,253.377483,254.0109267,254.6459541
Internet,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2098.83591,2105.832029,2112.851469,2119.894308,2126.960622,2134.050491,2141.163992,2148.301206,2155.46221,2162.647084,2169.855907,2175.280547,2180.718748,2186.170545,2191.635972,2197.115062,2202.607849,2208.114369,2213.634655,2219.168741,2224.716663,2230.278455,2235.854151,2241.443786,2247.047396,2252.665014,2258.296677,2263.942419,2269.602275,2275.27628,2280.964471,2286.666882,2292.383549,2298.114508,2303.859795,2309.619444,2315.393493,2321.181976,2326.984931,2332.802394,2338.6344,2344.480986,2350.342188,2356.218044,2362.108589,2368.01386,2373.933895,2379.86873
Courier,85,85,85,85,85,85,85,85,85,85,85,85,89.20052615,89.49786124,89.79618745,90.09550807,90.39582643,90.69714585,90.99946967,91.30280124,91.60714391,91.91250105,92.21887606,92.44942325,92.68054681,92.91224817,93.14452879,93.37739012,93.61083359,93.84486068,94.07947283,94.31467151,94.55045819,94.78683433,95.02380142,95.26136092,95.49951432,95.73826311,95.97760877,96.21755279,96.45809667,96.69924191,96.94099002,97.18334249,97.42630085,97.6698666,97.91404127,98.15882637,98.40422344,98.650234,98.89685958,99.14410173,99.39196198,99.64044189,99.88954299,100.1392669,100.389615,100.6405891,100.8921905,101.144421
Fuel,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1574.126932,1579.374022,1584.638602,1589.920731,1595.220466,1600.537868,1605.872994,1611.225904,1616.596657,1621.985313,1627.39193,1631.46041,1635.539061,1639.627909,1643.726979,1647.836296,1651.955887,1656.085777,1660.225991,1664.376556,1668.537497,1672.708841,1676.890613,1681.08284,1685.285547,1689.498761,1693.722508,1697.956814,1702.201706,1706.45721,1710.723353,1715.000162,1719.287662,1723.585881,1727.894846,1732.214583,1736.545119,1740.886482,1745.238698,1749.601795,1753.9758,1758.360739,1762.756641,1767.163533,1771.581442,1776.010395,1780.450421,1784.901547
Motor Vehicle Maintenance Costs,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1049.417955,1052.916015,1056.425735,1059.947154,1063.480311,1067.025245,1070.581996,1074.150603,1077.731105,1081.323542,1084.927954,1087.640274,1090.359374,1093.085273,1095.817986,1098.557531,1101.303925,1104.057184,1106.817327,1109.584371,1112.358332,1115.139227,1117.927076,1120.721893,1123.523698,1126.332507,1129.148338,1131.971209,1134.801137,1137.63814,1140.482236,1143.333441,1146.191775,1149.057254,1151.929897,1154.809722,1157.696746,1160.590988,1163.492466,1166.401197,1169.3172,1172.240493,1175.171094,1178.109022,1181.054294,1184.00693,1186.966947,1189.934365
Bank Charges,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9226.685501,9682.649427,9714.924926,9747.308009,9779.799035,9812.398365,9845.10636,9877.923381,9910.849793,9943.885958,9977.032245,10010.28902,10035.31474,10060.40303,10085.55404,10110.76792,10136.04484,10161.38495,10186.78842,10212.25539,10237.78603,10263.38049,10289.03894,10314.76154,10340.54844,10366.39981,10392.31581,10418.2966,10444.34234,10470.4532,10496.62933,10522.87091,10549.17808,10575.55103,10601.98991,10628.49488,10655.06612,10681.70378,10708.40804,10735.17906,10762.01701,10788.92205,10815.89436,10842.93409,10870.04143,10897.21653,10924.45957,10951.77072,10979.15015
Zimnat Grp Shared Costs Recovery Exp,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masawara Mgt Fee,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,11766.14865,12347.60765,12388.76634,12430.06223,12471.49577,12513.06742,12554.77765,12596.62691,12638.61566,12680.74438,12723.01353,12765.42358,12797.33714,12829.33048,12861.4038,12893.55731,12925.79121,12958.10569,12990.50095,13022.9772,13055.53464,13088.17348,13120.89392,13153.69615,13186.58039,13219.54684,13252.59571,13285.7272,13318.94152,13352.23887,13385.61947,13419.08352,13452.63122,13486.2628,13519.97846,13553.77841,13587.66285,13621.63201,13655.68609,13689.8253,13724.04987,13758.35999,13792.75589,13827.23778,13861.80588,13896.46039,13931.20154,13966.02955,14000.94462
